name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Smith Single-Leg Split Squat,push,beginner,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, place a flat bench 2-3 feet behind the smith machine. Then, set the bar on the height that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Snatch,pull,intermediate,compound,barbell,quadriceps,biceps,glutes,hamstrings,lower back,shoulders,traps,triceps,None,None,None,Place your feet at a shoulder width stance with the barbell resting right above the connection between the toes and the rest of the foot.,olympic weightlifting
Snatch Balance,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,shoulders,triceps,None,None,None,None,None,"Begin with the feet in the pulling position, the bar racked across the back of the shoulders, and the hands placed in a wide snatch grip.",olympic weightlifting
Snatch Deadlift,pull,intermediate,compound,barbell,hamstrings,forearms,glutes,hamstrings,lower back,quadriceps,traps,None,None,None,None,"The snatch deadlift strengthens the first pull of the snatch. Begin with a wide snatch grip with the barbell placed on the platform. The feet should be directly under the hips, with the feet turned out. Squat down to the bar, keeping the back in absolute extension with the head facing forward.",olympic weightlifting
Snatch Pull,pull,intermediate,compound,barbell,hamstrings,calves,glutes,lower back,quadriceps,traps,None,None,None,None,None,"With a barbell on the floor close to the shins, take a wide snatch grip. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.",strength
Snatch Shrug,pull,intermediate,compound,barbell,traps,forearms,shoulders,None,None,None,None,None,None,None,None,"Begin with a wide grip, with the bar hanging at the mid thigh position. You can use a hook or overhand grip. Your back should be straight and inclined slightly forward.",olympic weightlifting
Snatch from Blocks,pull,expert,compound,barbell,quadriceps,calves,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps,None,None,"Begin with a loaded barbell on boxes or stands of the desired height. A wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar, with the elbows pointed out. This will be the starting position.",olympic weightlifting
Speed Band Overhead Triceps,push,beginner,isolation,bands,triceps,None,None,None,None,None,None,None,None,None,None,"For this exercise anchor a band to the ground. We used an incline bench and anchored the band to the base, standing over the bench. Alternatively, this could be performed standing on the band.",strength
Speed Box Squat,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Attach bands to the bar that are securely anchored near the ground. You may need to choke the bands to get adequate tension.,powerlifting
Speed Squats,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Spell Caster,pull,beginner,compound,dumbbell,abdominals,glutes,shoulders,None,None,None,None,None,None,None,None,Hold a dumbbell in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position.,strength
Spider Crawl,pull,beginner,compound,body only,abdominals,chest,shoulders,triceps,None,None,None,None,None,None,None,"Begin in a prone position on the floor. Support your weight on your hands and toes, with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position.",strength
Spider Curl,pull,beginner,isolation,e-z curl bar,biceps,None,None,None,None,None,None,None,None,None,None,Start out by setting the bar on the part of the preacher bench that you would normally sit on. Make sure to align the barbell properly so that it is balanced and will not fall off.,strength
Spinal Stretch,static,beginner,isolation,None,middle back,lats,lower back,neck,traps,None,None,None,None,None,None,Sit in a chair so your back is straight and your feet planted on the floor.,stretching
Split Clean,pull,intermediate,compound,barbell,quadriceps,calves,forearms,glutes,hamstrings,lower back,shoulders,traps,None,None,None,"With a barbell on the floor close to the shins, take an overhand grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.",olympic weightlifting
Split Jerk,push,intermediate,compound,barbell,quadriceps,glutes,hamstrings,shoulders,triceps,None,None,None,None,None,None,"Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward.",olympic weightlifting
Split Jump,push,beginner,compound,body only,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Assume a lunge stance position with one foot forward with the knee bent, and the rear knee nearly touching the ground.",plyometrics
Split Snatch,pull,expert,compound,barbell,hamstrings,calves,forearms,glutes,hamstrings,lower back,quadriceps,shoulders,traps,triceps,None,"Begin with a loaded barbell on the floor. The bar should be close to or touching the shins, and a wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar. This will be the starting position.",olympic weightlifting
Split Squat with Dumbbells,push,beginner,compound,dumbbell,quadriceps,glutes,hamstrings,None,None,None,None,None,None,None,None,Position yourself into a staggered stance with the rear foot elevated and front foot forward.,strength
Split Squats,push,intermediate,None,None,hamstrings,calves,glutes,quadriceps,None,None,None,None,None,None,None,"Being in a standing position. Jump into a split leg position, with one leg forward and one leg back, flexing the knees and lowering your hips slightly as you do so.",stretching
Squat Jerk,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,shoulders,triceps,None,None,None,None,None,"Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible. Drive through the heels create as much speed and force as possible, and be sure to move your head out of the way as the bar leaves the shoulders.",strength
Squat with Bands,push,intermediate,compound,barbell,quadriceps,adductors,calves,glutes,hamstrings,lower back,None,None,None,None,None,"Set up the bands on the sleeves, secured to either band pegs, the rack, or dumbbells so that there is appropriate tension.",powerlifting
Squat with Chains,push,intermediate,compound,barbell,quadriceps,adductors,calves,glutes,hamstrings,lower back,None,None,None,None,None,"To set up the chains, begin by looping the leader chain over the sleeves of the bar. The heavy chain should be attached using a snap hook. Adjust the length of the lead chain so that a few links are still on the floor at the top of the movement.",powerlifting
Squat with Plate Movers,push,intermediate,compound,barbell,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,"To begin, first set the bar on a rack to just below shoulder level. Position a weight plate on the ground a couple feet back from the rack. Once the bar is loaded, step under it and place the back of your shoulders across it.",strength
Squats - With Bands,push,beginner,compound,bands,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"To start out, make sure that the exercise band is at an even split between both the left and right side of the body. To do this, use your hands to grab both sides of the band and place both feet in the middle of the band. Your feet should be shoulder width apart from each other.",strength
Stairmaster,None,intermediate,None,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, step onto the stairmaster and select the desired option from the menu. You can choose a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise.",cardio
Standing Alternating Dumbbell Press,push,beginner,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Stand with a dumbbell in each hand. Raise the dumbbells to your shoulders with your palms facing forward and your elbows pointed out. This will be your starting position.,strength
Standing Barbell Calf Raise,push,beginner,isolation,barbell,calves,None,None,None,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the bar on the back of your shoulders (slightly below the neck).",strength
Standing Barbell Press Behind Neck,push,intermediate,compound,barbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for easier pick up of the bar. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Standing Bent-Over One-Arm Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,shoulders,None,None,None,None,None,None,None,None,None,"With a dumbbell in one hand and the palm facing your torso, bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Make sure that you keep the head up.",strength
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,"With a dumbbell in each hand and the palms facing your torso, bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Make sure that you keep the head up. The upper arms should be close to the torso and parallel to the floor while the forearms are pointing towards the floor as the hands hold the weights. Tip: There should be a 90-degree angle between the forearms and the upper arm. This is your starting position.",strength
Standing Biceps Cable Curl,pull,beginner,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,Stand up with your torso upright while holding a cable curl bar that is attached to a low pulley. Grab the cable bar at shoulder width and keep the elbows close to the torso. The palm of your hands should be facing up (supinated grip). This will be your starting position.,strength
Standing Biceps Stretch,static,beginner,isolation,other,biceps,chest,shoulders,None,None,None,None,None,None,None,None,"Clasp your hands behind your back with your palms together, straighten arms and then rotate them so your palms face downward.",stretching
Standing Bradford Press,push,beginner,compound,barbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,"Place a loaded bar at shoulder level in a rack. With a pronated grip at shoulder width, begin with the bar racked across the front of your shoulders. This is your starting position.",strength
Standing Cable Chest Press,push,beginner,compound,cable,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Position dual pulleys to chest height and select an appropriate weight. Stand a foot or two in front of the cables, holding one in each hand. You can stagger your stance for better stability.",strength
Standing Cable Lift,pull,beginner,compound,cable,abdominals,shoulders,None,None,None,None,None,None,None,None,None,"Connect a standard handle on a tower, and move the cable to the lowest pulley position.",strength
Standing Cable Wood Chop,pull,beginner,compound,cable,abdominals,shoulders,None,None,None,None,None,None,None,None,None,"Connect a standard handle to a tower, and move the cable to the highest pulley position.",strength
Standing Calf Raises,push,beginner,isolation,machine,calves,None,None,None,None,None,None,None,None,None,None,Adjust the padded lever of the calf raise machine to fit your height.,strength
Standing Concentration Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,"Taking a dumbbell in your working hand, lean forward. Allow your working arm to hang perpendicular to the ground with the elbow pointing out. This will be your starting position.",strength
Standing Dumbbell Calf Raise,push,intermediate,isolation,dumbbell,calves,None,None,None,None,None,None,None,None,None,None,Stand with your torso upright holding two dumbbells in your hands by your sides. Place the ball of the foot on a sturdy and stable wooden board (that is around 2-3 inches tall) while your heels extend off and touch the floor. This will be your starting position.,strength
Standing Dumbbell Press,push,beginner,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,"Standing with your feet shoulder width apart, take a dumbbell in each hand. Raise the dumbbells to head height, the elbows out and about 90 degrees. This will be your starting position.",strength
Standing Dumbbell Reverse Curl,pull,intermediate,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,"To begin, stand straight with a dumbbell in each hand using a pronated grip (palms facing down). Your arms should be fully extended while your feet are shoulder width apart from each other. This is the starting position.",strength
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,push,intermediate,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,"Hold the dumbbells in front of your thighs, palms facing your thighs.",strength
Standing Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,"To begin, stand up with a dumbbell held by both hands. Your feet should be about shoulder width apart from each other. Slowly use both hands to grab the dumbbell and lift it over your head until both arms are fully extended.",strength
Standing Dumbbell Upright Row,pull,beginner,compound,dumbbell,traps,biceps,shoulders,None,None,None,None,None,None,None,None,Grasp a dumbbell in each hand with a pronated (palms forward) grip that is slightly less than shoulder width. The dumbbells should be resting on top of your thighs. Your arms should be extended with a slight bend at the elbows and your back should be straight. This will be your starting position.,strength
Standing Elevated Quad Stretch,static,beginner,None,other,quadriceps,None,None,None,None,None,None,None,None,None,None,Start by standing with your back about two to three feet away from a bench or step.,stretching
Standing Front Barbell Raise Over Head,push,intermediate,isolation,barbell,shoulders,None,None,None,None,None,None,None,None,None,None,"To begin, stand straight with a barbell in your hands. You should grip the bar with palms facing down and a closer than shoulder width grip apart from each other.",strength
Standing Gastrocnemius Calf Stretch,static,beginner,None,None,calves,hamstrings,None,None,None,None,None,None,None,None,None,Place your right heel on a step with your knee extended and lean forward to grab your right toe with your right hand. Your left knee should be slightly bent and your back should be straight.,stretching
Standing Hamstring and Calf Stretch,static,beginner,None,other,hamstrings,None,None,None,None,None,None,None,None,None,None,"Being by looping a belt, band, or rope around one foot. While standing, place that foot forward.",stretching
Standing Hip Circles,pull,beginner,isolation,body only,abductors,adductors,None,None,None,None,None,None,None,None,None,"Begin standing on one leg, holding to a vertical support.",stretching
Standing Hip Flexors,static,beginner,isolation,None,quadriceps,None,None,None,None,None,None,None,None,None,None,"Stand up straight with the spine vertical, the left foot slightly in front of the right.",stretching
Standing Inner-Biceps Curl,pull,intermediate,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Stand up with a dumbbell in each hand being held at arms length. The elbows should be close to the torso. Your legs should be at about shoulder's width apart from each other.,strength
Standing Lateral Stretch,static,beginner,None,None,abdominals,None,None,None,None,None,None,None,None,None,None,Take a slightly wider than hip distance stance with your knees slightly bent.,stretching
Standing Leg Curl,pull,beginner,isolation,machine,hamstrings,None,None,None,None,None,None,None,None,None,None,Adjust the machine lever to fit your height and lie with your torso bent at the waist facing forward around 30-45 degrees (since an angled position is more favorable for hamstrings recruitment) with the pad of the lever on the back of your right leg (just a few inches under the calves) and the front of the right leg on top of the machine pad.,strength
Standing Long Jump,push,beginner,compound,body only,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,This drill is best done in sand or other soft landing surface. Ensure that you are able to measure distance. Stand in a partial squat stance with feet shoulder width apart.,plyometrics
Standing Low-Pulley Deltoid Raise,push,beginner,isolation,cable,shoulders,forearms,None,None,None,None,None,None,None,None,None,Start by standing to the right side of a low pulley row. Use your left hand to come across the body and grab a single handle attached to the low pulley with a pronated grip (palms facing down). Rest your arm in front of you. Your right hand should grab the machine for better support and balance.,strength
Standing Low-Pulley One-Arm Triceps Extension,push,intermediate,isolation,cable,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Grab a single handle with your left arm next to the low pulley machine. Turn away from the machine keeping the handle to the side of your body with your arm fully extended. Now use both hands to elevate the single handle directly above the head with the palm facing forward. Keep your upper arm completely vertical (perpendicular to the floor) and put your right hand on your left elbow to help keep it steady. This is the starting position.,strength
Standing Military Press,push,beginner,compound,barbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,"Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other.",strength
Standing Olympic Plate Hand Squeeze,static,beginner,isolation,other,forearms,biceps,None,None,None,None,None,None,None,None,None,"To begin, stand straight while holding a weight plate by the ridge at arm's length in each hand using a neutral grip (palms facing in). You feet should be shoulder width apart from each other. This will be your starting position.",strength
Standing One-Arm Cable Curl,pull,intermediate,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,Start out by grabbing single handle next to the low pulley machine. Make sure you are far enough from the machine so that your arm is supporting the weight.,strength
Standing One-Arm Dumbbell Curl Over Incline Bench,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Stand on the back side of an incline bench as if you were going to be a spotter for someone. Have a dumbbell in one hand and rest it across the incline bench with a supinated (palms up) grip.,strength
Standing One-Arm Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"To begin, stand up with a dumbbell held in one hand. Your feet should be about shoulder width apart from each other. Now fully extend the arm with the dumbbell over your head. Tip: The small finger of your hand should be facing the ceiling and the palm of your hand should be facing forward. The dumbbell should be above your head.",strength
Standing Overhead Barbell Triceps Extension,push,beginner,isolation,barbell,triceps,shoulders,None,None,None,None,None,None,None,None,None,"To begin, stand up holding a barbell or e-z bar using a pronated grip (palms facing forward) with your hands closer than shoulder width apart from each other. Your feet should be about shoulder width apart.",strength
Standing Palm-In One-Arm Dumbbell Press,push,beginner,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Start by having a dumbbell in one hand with your arm fully extended to the side using a neutral grip. Use your other arm to hold on to an incline bench to keep your balance.,strength
Standing Palms-In Dumbbell Press,push,intermediate,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Start by having a dumbbell in each hand with your arm fully extended to the side using a neutral grip. Your feet should be shoulder width apart from each other. Now slowly lift the dumbbells up until you create a 90 degree angle with your arms. Note: Your forearms should be perpendicular to the floor. This the starting position.,strength
Standing Palms-Up Barbell Behind The Back Wrist Curl,pull,beginner,isolation,barbell,forearms,None,None,None,None,None,None,None,None,None,None,Start by standing straight and holding a barbell behind your glutes at arm's length while using a pronated grip (palms will be facing back away from the glutes) and having your hands shoulder width apart from each other.,strength
Standing Pelvic Tilt,static,beginner,isolation,None,lower back,glutes,None,None,None,None,None,None,None,None,None,Start off with your feet hip-distance apart.,stretching
Standing Rope Crunch,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,Attach a rope to a high pulley and select an appropriate weight.,strength
Standing Soleus And Achilles Stretch,static,beginner,isolation,None,calves,None,None,None,None,None,None,None,None,None,None,"Stand with your feet hip-distance apart, one foot slightly in front of the other.",stretching
Standing Toe Touches,static,beginner,None,None,hamstrings,calves,None,None,None,None,None,None,None,None,None,Stand with some space in front and behind you.,stretching
Standing Towel Triceps Extension,push,beginner,isolation,body only,triceps,None,None,None,None,None,None,None,None,None,None,"To begin, stand up with both arms fully extended above the head holding one end of a towel with both hands. Your elbows should be in and the arms perpendicular to the floor with the palms facing each other while your feet should be shoulder width apart from each other. This is the starting position.",strength
Standing Two-Arm Overhead Throw,pull,beginner,compound,medicine ball,shoulders,chest,lats,None,None,None,None,None,None,None,None,"Stand with your feet shoulder width apart holding a medicine ball in both hands. To begin, reach the medicine ball deep behind your head as you bend the knees slightly and lean back.",plyometrics
Star Jump,push,beginner,compound,body only,quadriceps,calves,glutes,hamstrings,shoulders,None,None,None,None,None,None,Begin in a relaxed stance with your feet shoulder width apart and hold your arms close to the body.,plyometrics
Step-up with Knee Raise,push,beginner,compound,body only,glutes,hamstrings,quadriceps,None,None,None,None,None,None,None,None,Stand facing a box or bench of an appropriate height with your feet together. This will be your starting position.,strength
Step Mill,None,intermediate,None,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"To begin, step onto the stepmill and select the desired option from the menu. You can choose a manual setting, or you can select a program to run. Typically, you can enter your age and weight to estimate the amount of calories burned during exercise. Use caution so that you don't trip as you climb the stairs. It is recommended that you maintain your grip on the handles so that you don't fall.",cardio
Stiff-Legged Barbell Deadlift,pull,intermediate,compound,barbell,hamstrings,glutes,lower back,None,None,None,None,None,None,None,None,Grasp a bar using an overhand grip (palms facing down). You may need some wrist wraps if using a significant amount of weight.,strength
Stiff-Legged Dumbbell Deadlift,pull,beginner,compound,dumbbell,hamstrings,glutes,lower back,None,None,None,None,None,None,None,None,Grasp a couple of dumbbells holding them by your side at arm's length.,strength
Stiff Leg Barbell Good Morning,push,beginner,compound,barbell,lower back,glutes,hamstrings,None,None,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Stomach Vacuum,static,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"To begin, stand straight with your feet shoulder width apart from each other. Place your hands on your hips. This is the starting position.",stretching
Straight-Arm Dumbbell Pullover,pull,intermediate,compound,dumbbell,chest,lats,shoulders,triceps,None,None,None,None,None,None,None,Place a dumbbell standing up on a flat bench.,strength
Straight-Arm Pulldown,pull,beginner,isolation,cable,lats,None,None,None,None,None,None,None,None,None,None,You will start by grabbing the wide bar from the top pulley of a pulldown machine and using a wider than shoulder-width pronated (palms down) grip. Step backwards two feet or so.,strength
Straight Bar Bench Mid Rows,pull,beginner,compound,barbell,middle back,biceps,lats,None,None,None,None,None,None,None,None,"Place a loaded barbell on the end of a bench. Standing on the bench behind the bar, take a medium, pronated grip. Stand with your hips back and chest up, maintaining a neutral spine. This will be your starting position.",strength
Straight Raises on Incline Bench,push,beginner,isolation,barbell,shoulders,traps,None,None,None,None,None,None,None,None,None,Place a bar on the ground behind the head of an incline bench.,strength
Stride Jump Crossover,push,beginner,compound,other,quadriceps,abductors,adductors,calves,hamstrings,None,None,None,None,None,None,"Stand to the side of a box with your inside foot on top of it, close to the edge.",plyometrics
Sumo Deadlift,pull,intermediate,compound,barbell,hamstrings,adductors,forearms,glutes,lower back,middle back,quadriceps,traps,None,None,None,"Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms.",powerlifting
Sumo Deadlift with Bands,pull,intermediate,compound,barbell,hamstrings,adductors,forearms,glutes,lower back,middle back,quadriceps,traps,None,None,None,"To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. Ensure that they under the back half of your foot, directly where you are driving into the floor.",powerlifting
Sumo Deadlift with Chains,pull,intermediate,compound,barbell,hamstrings,abductors,adductors,forearms,glutes,lower back,middle back,quadriceps,traps,None,None,"You can attach the chains to the sleeves of the bar, or just drape the middle over the bar so there is a greater weight increase as you lift. Attempt to keep the ends of the chains away from the plates so you don't hit them when you lower the weight.",powerlifting
Superman,static,beginner,compound,body only,lower back,glutes,hamstrings,None,None,None,None,None,None,None,None,"To begin, lie straight and face down on the floor or exercise mat. Your arms should be fully extended in front of you. This is the starting position.",stretching
Supine Chest Throw,push,beginner,compound,medicine ball,triceps,chest,shoulders,None,None,None,None,None,None,None,None,This drill is great for chest passes when you lack a partner or a wall of sufficient strength. Lay on the ground on your back with your knees bent.,plyometrics
Supine One-Arm Overhead Throw,pull,beginner,compound,medicine ball,abdominals,chest,lats,shoulders,None,None,None,None,None,None,None,"Lay on the ground on your back with your knees bent. Hold the ball with one hand, extending the arm fully behind your head. This will be your starting position.",plyometrics
Supine Two-Arm Overhead Throw,pull,beginner,compound,medicine ball,abdominals,chest,lats,shoulders,None,None,None,None,None,None,None,Lay on the ground on your back with your knees bent.,plyometrics
Suspended Fallout,pull,intermediate,isolation,other,abdominals,chest,lower back,shoulders,None,None,None,None,None,None,None,"Adjust the straps so the handles are at an appropriate height, below waist level.",strength
Suspended Push-Up,push,beginner,compound,other,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Anchor your suspension straps securely to the top of a rack or other object.,strength
Suspended Reverse Crunch,pull,beginner,isolation,other,abdominals,None,None,None,None,None,None,None,None,None,None,Secure a set of suspension straps with the handles hanging about a foot off of the ground. Move yourself into a pushup plank position facing away from the rack.,strength
Suspended Row,pull,beginner,compound,other,middle back,biceps,lats,None,None,None,None,None,None,None,None,Suspend your straps at around chest height. Take a handle in each hand and lean back. Keep your body erect and your head and chest up. Your arms should be fully extended. This will be your starting position.,strength
Suspended Split Squat,push,intermediate,compound,other,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,Suspend your straps so the handles are 18-30 inches from the floor.,strength
Svend Press,push,beginner,compound,other,chest,forearms,shoulders,triceps,None,None,None,None,None,None,None,Begin in a standing position.,strength
T-Bar Row with Handle,pull,beginner,compound,barbell,middle back,biceps,lats,None,None,None,None,None,None,None,None,Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.,strength
Tate Press,push,intermediate,isolation,dumbbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Lie down on a flat bench with a dumbbell in each hand on top of your thighs. The palms of your hand will be facing each other.,strength
The Straddle,static,beginner,None,None,hamstrings,adductors,calves,None,None,None,None,None,None,None,None,"Begin in a seated, upright position. Start by extending your legs in front of you in a V.",stretching
Thigh Abductor,push,beginner,isolation,machine,abductors,glutes,None,None,None,None,None,None,None,None,None,"To begin, sit down on the abductor machine and select a weight you are comfortable with. When your legs are positioned properly, grip the handles on each side. Your entire upper body (from the waist up) should be stationary. This is the starting position.",strength
Thigh Adductor,pull,beginner,isolation,machine,adductors,glutes,hamstrings,None,None,None,None,None,None,None,None,"To begin, sit down on the adductor machine and select a weight you are comfortable with. When your legs are positioned properly on the leg pads of the machine, grip the handles on each side. Your entire upper body (from the waist up) should be stationary. This is the starting position.",strength
Tire Flip,pull,intermediate,compound,other,quadriceps,calves,chest,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps,None,"Begin by gripping the bottom of the tire on the tread, and position your feet back a bit. Your chest should be driving into the tire.",strongman
Toe Touchers,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"To begin, lie down on the floor or an exercise mat with your back pressed against the floor. Your arms should be lying across your sides with the palms facing down.",stretching
Torso Rotation,pull,beginner,None,exercise ball,abdominals,None,None,None,None,None,None,None,None,None,None,Stand upright holding an exercise ball with both hands. Extend your arms so the ball is straight out in front of you. This will be your starting position.,stretching
Trail Running/Walking,None,beginner,None,None,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Running or hiking on trails will get the blood pumping and heart beating almost immediately. Make sure you have good shoes. While you use the muscles in your calves and buttocks to pull yourself up a hill, the knees, joints and ankles absorb the bulk of the pounding coming back down. Take smaller steps as you walk downhill, keep your knees bent to reduce the impact and slow down to avoid falling.",cardio
Trap Bar Deadlift,pull,beginner,compound,other,quadriceps,glutes,hamstrings,None,None,None,None,None,None,None,None,"For this exercise load a trap bar, also known as a hex bar, to an appropriate weight resting on the ground. Stand in the center of the apparatus and grasp both handles.",strength
Tricep Dumbbell Kickback,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Start with a dumbbell in each hand and your palms facing your torso. Keep your back straight with a slight bend in the knees and bend forward at the waist. Your torso should be almost parallel to the floor. Make sure to keep your head up. Your upper arms should be close to your torso and parallel to the floor. Your forearms should be pointed towards the floor as you hold the weights. There should be a 90-degree angle formed between your forearm and upper arm. This is your starting position.,strength
Tricep Side Stretch,static,beginner,None,None,triceps,shoulders,None,None,None,None,None,None,None,None,None,None,stretching
Triceps Overhead Extension with Rope,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,"Attach a rope to a low pulley. After selecting an appropriate weight, grasp the rope with both hands and face away from the cable.",strength
Triceps Pushdown,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Attach a straight or angled bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.,strength
Triceps Pushdown - Rope Attachment,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Attach a rope attachment to a high pulley and grab with a neutral grip (palms facing each other).,strength
Triceps Pushdown - V-Bar Attachment,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Attach a V-Bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.,strength
Triceps Stretch,static,beginner,isolation,None,triceps,lats,None,None,None,None,None,None,None,None,None,None,stretching
Tuck Crunch,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"To begin, lie down on the floor or an exercise mat with your back pressed against the floor. Your arms should be lying across your sides with the palms facing down.",strength
Two-Arm Dumbbell Preacher Curl,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Grab a dumbbell with each arm and place the upper arms on top of the preacher bench or the incline bench. The dumbbell should be held at shoulder length. This will be your starting position.,strength
